# balance: games=100000 agent=greedy deck=72
card,name,family,contribution_ev,contribution_sd,holder_score_ev,win_rate_held,win_rate_delta,family_mean,deviation_sd,flag
S1,"Rich Vein",Strike,20.36,6.16,107.94,0.5760,0.0760,17.73,1.17,
S2,"Sure Thing",Strike,16.93,7.32,105.19,0.5053,0.0053,17.73,-0.35,
S3,"Careful Assay",Strike,20.53,8.33,106.06,0.5229,0.0229,17.73,1.24,
S4,"Bonanza",Strike,17.36,10.60,104.23,0.4729,-0.0271,17.73,-0.16,
S5,"Steady Take",Strike,16.25,4.27,105.56,0.5288,0.0288,17.73,-0.65,
S6,"Grubstake",Strike,14.93,0.66,102.44,0.4372,-0.0628,17.73,-1.24,
D1,"Pay Streak",Dig,15.76,5.26,103.30,0.4508,-0.0492,17.58,-0.83,
D2,"Hard Rock",Dig,17.29,7.27,104.34,0.4752,-0.0248,17.58,-0.13,
D3,"Deep Shaft",Dig,19.79,6.58,105.78,0.4998,-0.0002,17.58,1.01,
D4,"Ore Buyer",Dig,16.82,4.32,105.90,0.5384,0.0384,17.58,-0.34,
D5,"Claim Rivalry",Dig,15.16,6.94,102.98,0.4438,-0.0562,17.58,-1.10,
D6,"Muck Out",Dig,20.65,7.77,106.18,0.5190,0.0190,17.58,1.40,
L1,"Wash Plant",Sluice,15.37,5.42,102.25,0.4206,-0.0794,17.03,-1.04,
L2,"Long Tom",Sluice,17.41,7.23,104.07,0.4653,-0.0347,17.03,0.23,
L3,"Tailings",Sluice,16.81,4.33,105.64,0.5234,0.0234,17.03,-0.14,
L4,"Riffle Box",Sluice,19.48,6.69,104.75,0.4659,-0.0341,17.03,1.53,OUTLIER
L5,"Downstream Claim",Sluice,15.25,6.91,103.08,0.4422,-0.0578,17.03,-1.11,
L6,"Sluice Rights",Sluice,17.87,5.48,104.92,0.4872,-0.0128,17.03,0.52,
V1,"Crystal Ladder",Vein,18.95,9.70,105.91,0.5231,0.0231,18.97,-0.01,
V2,"Mother Lode",Vein,20.16,10.67,106.88,0.5444,0.0444,18.97,0.45,
V3,"Crystal Trade",Vein,19.84,7.52,106.57,0.5531,0.0531,18.97,0.33,
V4,"Prism",Vein,22.89,14.27,108.79,0.5726,0.0726,18.97,1.47,
V5,"Vein Rivalry",Vein,16.36,8.73,104.36,0.4984,-0.0016,18.97,-0.98,
V6,"Cut and Polish",Vein,15.63,3.15,104.96,0.5213,0.0213,18.97,-1.25,
O1,"Full Outfit",Outfit,17.72,3.78,106.79,0.5448,0.0448,16.88,0.42,
O2,"Mule Train",Outfit,17.10,4.66,105.48,0.5058,0.0058,16.88,0.11,
O3,"Well Equipped",Outfit,17.89,0.69,106.37,0.5262,0.0262,16.88,0.50,
O4,"Sharpened Steel",Outfit,19.57,5.41,107.86,0.5645,0.0645,16.88,1.33,
O5,"Supply Line",Outfit,14.37,7.53,103.62,0.4608,-0.0392,16.88,-1.25,
O6,"Camp Store",Outfit,14.64,2.47,104.54,0.4981,-0.0019,16.88,-1.11,
P1,"Pyrite Hoarder",Prospect,21.74,7.92,107.47,0.5116,0.0116,16.98,1.77,OUTLIER
P2,"Clean Claim",Prospect,18.21,5.54,104.71,0.4600,-0.0400,16.98,0.46,
P3,"Broad Claim",Prospect,14.59,3.69,103.88,0.4779,-0.0221,16.98,-0.89,
P4,"Two Trades",Prospect,14.84,3.22,103.51,0.4570,-0.0430,16.98,-0.80,
P5,"Highgrader",Prospect,16.74,9.73,105.03,0.4795,-0.0205,16.98,-0.09,
P6,"Volume Play",Prospect,15.78,5.49,105.20,0.5255,0.0255,16.98,-0.45,
