# balance: games=100000 agent=inference deck=72
card,name,family,contribution_ev,contribution_sd,holder_score_ev,win_rate_held,win_rate_delta,family_mean,deviation_sd,flag
S1,"Rich Vein",Strike,20.86,6.82,109.88,0.5641,0.0641,18.22,0.99,
S2,"Sure Thing",Strike,17.34,7.80,107.29,0.4977,-0.0023,18.22,-0.33,
S3,"Careful Assay",Strike,22.00,9.35,109.32,0.5416,0.0416,18.22,1.41,
S4,"Bonanza",Strike,17.58,11.77,106.72,0.4732,-0.0268,18.22,-0.24,
S5,"Steady Take",Strike,16.58,4.76,107.02,0.5078,0.0078,18.22,-0.61,
S6,"Grubstake",Strike,14.94,0.62,104.33,0.4316,-0.0684,18.22,-1.22,
D1,"Pay Streak",Dig,16.34,5.68,105.97,0.4619,-0.0381,18.19,-0.74,
D2,"Hard Rock",Dig,17.75,7.52,107.20,0.4911,-0.0089,18.19,-0.17,
D3,"Deep Shaft",Dig,20.47,7.11,108.26,0.5102,0.0102,18.19,0.91,
D4,"Ore Buyer",Dig,17.25,4.70,107.88,0.5200,0.0200,18.19,-0.37,
D5,"Claim Rivalry",Dig,15.39,7.28,105.61,0.4521,-0.0479,18.19,-1.12,
D6,"Muck Out",Dig,21.91,8.33,109.35,0.5304,0.0304,18.19,1.49,
L1,"Wash Plant",Sluice,16.07,5.82,104.78,0.4330,-0.0670,17.66,-0.90,
L2,"Long Tom",Sluice,17.92,7.48,107.19,0.4824,-0.0176,17.66,0.14,
L3,"Tailings",Sluice,17.24,4.70,107.52,0.5031,0.0031,17.66,-0.24,
L4,"Riffle Box",Sluice,20.47,7.15,107.40,0.4780,-0.0220,17.66,1.58,OUTLIER
L5,"Downstream Claim",Sluice,15.64,7.33,105.85,0.4560,-0.0440,17.66,-1.14,
L6,"Sluice Rights",Sluice,18.64,5.91,107.60,0.4973,-0.0027,17.66,0.55,
V1,"Crystal Ladder",Vein,18.68,10.24,107.51,0.5095,0.0095,18.96,-0.10,
V2,"Mother Lode",Vein,19.58,11.11,108.27,0.5195,0.0195,18.96,0.22,
V3,"Crystal Trade",Vein,21.03,7.59,108.65,0.5509,0.0509,18.96,0.74,
V4,"Prism",Vein,22.78,15.32,110.47,0.5528,0.0528,18.96,1.37,
V5,"Vein Rivalry",Vein,15.94,9.02,105.91,0.4826,-0.0174,18.96,-1.09,
V6,"Cut and Polish",Vein,15.76,3.26,107.02,0.5203,0.0203,18.96,-1.15,
O1,"Full Outfit",Outfit,17.82,3.87,109.03,0.5446,0.0446,16.92,0.45,
O2,"Mule Train",Outfit,17.24,4.72,107.72,0.5035,0.0035,16.92,0.16,
O3,"Well Equipped",Outfit,17.92,0.59,108.85,0.5337,0.0337,16.92,0.50,
O4,"Sharpened Steel",Outfit,19.46,5.64,110.15,0.5697,0.0697,16.92,1.28,
O5,"Supply Line",Outfit,14.42,7.62,105.86,0.4578,-0.0422,16.92,-1.26,
O6,"Camp Store",Outfit,14.66,2.53,106.65,0.4866,-0.0134,16.92,-1.14,
P1,"Pyrite Hoarder",Prospect,22.24,8.25,109.40,0.4966,-0.0034,17.54,1.71,OUTLIER
P2,"Clean Claim",Prospect,19.11,5.09,107.55,0.4825,-0.0175,17.54,0.57,
P3,"Broad Claim",Prospect,14.89,3.63,106.40,0.4838,-0.0162,17.54,-0.97,
P4,"Two Trades",Prospect,15.25,3.43,106.25,0.4610,-0.0390,17.54,-0.83,
P5,"Highgrader",Prospect,16.98,9.62,107.10,0.4780,-0.0220,17.54,-0.20,
P6,"Volume Play",Prospect,16.78,5.63,108.08,0.5352,0.0352,17.54,-0.28,
