# balance: games=100000 agent=inference deck=72
card,name,family,contribution_ev,contribution_sd,holder_score_ev,win_rate_held,win_rate_delta,family_mean,deviation_sd,flag
S1,"Rich Vein",Strike,15.76,6.25,92.01,0.5417,0.0417,14.90,0.38,
S2,"Sure Thing",Strike,17.47,7.42,89.61,0.5003,0.0003,14.90,1.14,
S3,"Careful Assay",Strike,11.20,9.31,89.21,0.5194,0.0194,14.90,-1.64,OUTLIER
S4,"Bonanza",Strike,16.70,10.73,90.49,0.5149,0.0149,14.90,0.80,
S5,"Steady Take",Strike,14.05,4.49,88.78,0.4883,-0.0117,14.90,-0.38,
S6,"Grubstake",Strike,14.22,2.40,92.52,0.5745,0.0745,14.90,-0.30,
D1,"Pay Streak",Dig,12.36,5.82,89.26,0.5154,0.0154,13.95,-1.72,OUTLIER
D2,"Hard Rock",Dig,14.99,8.09,87.94,0.4633,-0.0367,13.95,1.12,
D3,"Deep Shaft",Dig,14.40,7.63,91.84,0.5508,0.0508,13.95,0.48,
D4,"Ore Buyer",Dig,13.95,4.58,89.54,0.5162,0.0162,13.95,-0.00,
D5,"Claim Rivalry",Dig,14.49,7.25,86.94,0.4443,-0.0557,13.95,0.58,
D6,"Muck Out",Dig,13.52,9.04,91.08,0.5512,0.0512,13.95,-0.47,
L1,"Wash Plant",Sluice,12.06,6.43,89.10,0.5122,0.0122,14.09,-1.87,OUTLIER
L2,"Long Tom",Sluice,15.32,8.07,88.05,0.4610,-0.0390,14.09,1.13,
L3,"Tailings",Sluice,14.06,4.74,89.42,0.5123,0.0123,14.09,-0.03,
L4,"Riffle Box",Sluice,14.29,8.38,91.69,0.5520,0.0520,14.09,0.19,
L5,"Downstream Claim",Sluice,14.52,7.28,87.00,0.4412,-0.0588,14.09,0.39,
L6,"Sluice Rights",Sluice,14.29,6.24,90.44,0.5250,0.0250,14.09,0.18,
V1,"Crystal Ladder",Vein,16.40,10.03,89.77,0.5143,0.0143,16.05,0.16,
V2,"Mother Lode",Vein,17.87,10.79,90.91,0.5307,0.0307,16.05,0.81,
V3,"Crystal Trade",Vein,12.81,8.31,87.03,0.4637,-0.0363,16.05,-1.45,
V4,"Prism",Vein,19.03,14.54,91.92,0.5359,0.0359,16.05,1.33,
V5,"Vein Rivalry",Vein,15.53,8.91,88.53,0.4997,-0.0003,16.05,-0.23,
V6,"Cut and Polish",Vein,14.65,3.96,87.26,0.4569,-0.0431,16.05,-0.63,
O1,"Full Outfit",Outfit,16.49,4.92,90.12,0.5027,0.0027,15.77,0.38,
O2,"Mule Train",Outfit,13.84,5.74,89.18,0.5057,0.0057,15.77,-1.01,
O3,"Well Equipped",Outfit,17.32,2.00,91.25,0.5192,0.0192,15.77,0.81,
O4,"Sharpened Steel",Outfit,18.41,6.60,90.83,0.5299,0.0299,15.77,1.38,
O5,"Supply Line",Outfit,14.50,8.09,87.51,0.4719,-0.0281,15.77,-0.67,
O6,"Camp Store",Outfit,14.06,2.89,87.76,0.4770,-0.0230,15.77,-0.90,
P1,"Pyrite Hoarder",Prospect,18.60,9.02,90.99,0.4524,-0.0476,14.59,1.40,
P2,"Clean Claim",Prospect,14.11,6.18,87.35,0.4520,-0.0480,14.59,-0.17,
P3,"Broad Claim",Prospect,14.01,4.14,88.55,0.4899,-0.0101,14.59,-0.20,
P4,"Two Trades",Prospect,13.19,3.93,87.90,0.4713,-0.0287,14.59,-0.49,
P5,"Highgrader",Prospect,10.54,6.58,84.77,0.4147,-0.0853,14.59,-1.41,
P6,"Volume Play",Prospect,17.08,5.90,89.96,0.5283,0.0283,14.59,0.87,
