# balance: games=100000 agent=inference deck=72
card,name,family,contribution_ev,contribution_sd,holder_score_ev,win_rate_held,win_rate_delta,family_mean,deviation_sd,flag
S1,"Rich Vein",Strike,20.02,6.10,106.55,0.5278,0.0278,18.10,0.86,
S2,"Sure Thing",Strike,16.61,7.22,104.31,0.4737,-0.0263,18.10,-0.67,
S3,"Careful Assay",Strike,20.46,8.80,106.69,0.5482,0.0482,18.10,1.06,
S4,"Bonanza",Strike,17.02,10.54,104.04,0.4741,-0.0259,18.10,-0.48,
S5,"Steady Take",Strike,16.08,4.27,103.67,0.4703,-0.0297,18.10,-0.91,
S6,"Grubstake",Strike,14.95,0.59,102.19,0.4330,-0.0670,18.10,-1.42,
S7,"Gold Fever",Strike,20.84,5.14,105.36,0.4796,-0.0204,18.10,1.23,
S8,"Assay Office",Strike,18.80,4.67,105.79,0.5285,0.0285,18.10,0.32,
D1,"Pay Streak",Dig,16.01,5.31,103.63,0.4670,-0.0330,16.96,-0.49,
D2,"Hard Rock",Dig,17.31,7.34,104.90,0.4949,-0.0051,16.96,0.18,
D3,"Deep Shaft",Dig,19.84,6.69,106.44,0.5259,0.0259,16.96,1.49,
D4,"Ore Buyer",Dig,16.68,4.40,104.62,0.5014,0.0014,16.96,-0.14,
D5,"Claim Rivalry",Dig,15.17,7.00,103.44,0.4635,-0.0365,16.96,-0.93,
D6,"Muck Out",Dig,16.77,6.86,104.34,0.4944,-0.0056,16.96,-0.10,
D7,"Prospector's Eye",Dig,14.34,4.61,102.24,0.4432,-0.0568,16.96,-1.35,
D8,"Union Crew",Dig,19.53,7.19,105.76,0.5066,0.0066,16.96,1.33,
L1,"Wash Plant",Sluice,15.73,5.50,102.60,0.4353,-0.0647,17.80,-1.07,
L2,"Long Tom",Sluice,17.23,7.43,104.43,0.4843,-0.0157,17.80,-0.30,
L3,"Tailings",Sluice,16.69,4.44,104.06,0.4785,-0.0215,17.80,-0.57,
L4,"Riffle Box",Sluice,19.87,6.78,105.65,0.5085,0.0085,17.80,1.06,
L5,"Downstream Claim",Sluice,15.12,7.07,103.12,0.4513,-0.0487,17.80,-1.38,
L6,"Sluice Rights",Sluice,18.00,5.64,105.06,0.4982,-0.0018,17.80,0.10,
L7,"River Rat",Sluice,19.50,5.92,105.76,0.5286,0.0286,17.80,0.87,
L8,"Fine Gold",Sluice,20.29,8.43,105.20,0.4972,-0.0028,17.80,1.28,
V1,"Crystal Ladder",Vein,17.09,9.49,104.84,0.5097,0.0097,17.52,-0.20,
V2,"Mother Lode",Vein,17.73,10.39,105.47,0.5195,0.0195,17.52,0.09,
V3,"Crystal Trade",Vein,19.88,7.25,106.62,0.5737,0.0737,17.52,1.10,
V4,"Prism",Vein,19.91,13.68,107.15,0.5494,0.0494,17.52,1.11,
V5,"Vein Rivalry",Vein,15.16,8.73,103.32,0.4748,-0.0252,17.52,-1.10,
V6,"Cut and Polish",Vein,15.56,3.03,104.25,0.5005,0.0005,17.52,-0.91,
V7,"Crystal Cache",Vein,15.05,9.20,103.10,0.4649,-0.0351,17.52,-1.15,
V8,"Lode Miner",Vein,19.81,9.18,105.59,0.5549,0.0549,17.52,1.06,
O1,"Full Outfit",Outfit,17.71,3.70,106.04,0.5288,0.0288,17.18,0.27,
O2,"Mule Train",Outfit,16.96,4.67,104.89,0.4935,-0.0065,17.18,-0.11,
O3,"Well Equipped",Outfit,17.93,0.56,105.94,0.5240,0.0240,17.18,0.37,
O4,"Sharpened Steel",Outfit,19.24,5.54,107.12,0.5542,0.0542,17.18,1.03,
O5,"Supply Line",Outfit,14.27,7.53,103.02,0.4529,-0.0471,17.18,-1.45,
O6,"Camp Store",Outfit,14.50,2.29,103.11,0.4523,-0.0477,17.18,-1.33,
O7,"Traveling Crew",Outfit,16.91,1.94,105.35,0.5077,0.0077,17.18,-0.13,
O8,"Broken Handles",Outfit,19.89,2.55,107.54,0.5604,0.0604,17.18,1.35,
P1,"Pyrite Hoarder",Prospect,20.28,8.31,105.46,0.4765,-0.0235,17.36,1.50,OUTLIER
P2,"Clean Claim",Prospect,18.49,5.32,106.66,0.5440,0.0440,17.36,0.58,
P3,"Broad Claim",Prospect,14.93,3.37,103.30,0.4637,-0.0363,17.36,-1.25,
P4,"Two Trades",Prospect,14.95,3.09,103.38,0.4536,-0.0464,17.36,-1.24,
P5,"Highgrader",Prospect,16.88,9.62,105.17,0.4966,-0.0034,17.36,-0.24,
P6,"Volume Play",Prospect,16.52,5.52,105.77,0.5572,0.0572,17.36,-0.43,
P7,"Lucky Strike",Prospect,17.44,3.97,105.34,0.5030,0.0030,17.36,0.04,
P8,"Grubstake Partner",Prospect,19.37,7.79,107.76,0.5677,0.0677,17.36,1.03,
