# balance: games=100000 agent=inference deck=72
card,name,family,contribution_ev,contribution_sd,holder_score_ev,win_rate_held,win_rate_delta,family_mean,deviation_sd,flag
S1,"Rich Vein",Strike,20.01,6.10,107.01,0.5274,0.0274,18.08,0.86,
S2,"Sure Thing",Strike,16.60,7.22,104.78,0.4721,-0.0279,18.08,-0.67,
S3,"Careful Assay",Strike,20.43,8.79,107.16,0.5464,0.0464,18.08,1.06,
S4,"Bonanza",Strike,16.98,10.54,104.47,0.4729,-0.0271,18.08,-0.50,
S5,"Steady Take",Strike,16.07,4.28,104.17,0.4704,-0.0296,18.08,-0.90,
S6,"Grubstake",Strike,14.95,0.59,102.66,0.4303,-0.0697,18.08,-1.41,
S7,"Gold Fever",Strike,20.83,5.13,105.82,0.4796,-0.0204,18.08,1.24,
S8,"Assay Office",Strike,18.80,4.67,106.27,0.5262,0.0262,18.08,0.32,
D1,"Pay Streak",Dig,16.01,5.31,103.99,0.4630,-0.0370,17.52,-0.61,
D2,"Hard Rock",Dig,17.30,7.35,105.27,0.4912,-0.0088,17.52,-0.09,
D3,"Deep Shaft",Dig,19.83,6.69,106.77,0.5229,0.0229,17.52,0.93,
D4,"Ore Buyer",Dig,16.66,4.40,104.97,0.4980,-0.0020,17.52,-0.34,
D5,"Claim Rivalry",Dig,15.13,7.00,103.77,0.4589,-0.0411,17.52,-0.96,
D6,"Muck Out",Dig,21.38,7.99,108.43,0.5782,0.0782,17.52,1.55,OUTLIER
D7,"Prospector's Eye",Dig,14.31,4.61,102.58,0.4397,-0.0603,17.52,-1.29,
D8,"Union Crew",Dig,19.53,7.19,106.11,0.5030,0.0030,17.52,0.81,
L1,"Wash Plant",Sluice,15.68,5.53,103.04,0.4346,-0.0654,17.79,-1.08,
L2,"Long Tom",Sluice,17.21,7.43,104.92,0.4835,-0.0165,17.79,-0.30,
L3,"Tailings",Sluice,16.69,4.44,104.51,0.4766,-0.0234,17.79,-0.56,
L4,"Riffle Box",Sluice,19.85,6.79,106.11,0.5058,0.0058,17.79,1.06,
L5,"Downstream Claim",Sluice,15.12,7.08,103.52,0.4475,-0.0525,17.79,-1.37,
L6,"Sluice Rights",Sluice,17.98,5.64,105.51,0.4965,-0.0035,17.79,0.10,
L7,"River Rat",Sluice,19.48,5.92,106.22,0.5263,0.0263,17.79,0.87,
L8,"Fine Gold",Sluice,20.29,8.44,105.70,0.4969,-0.0031,17.79,1.29,
V1,"Crystal Ladder",Vein,17.09,9.49,105.33,0.5086,0.0086,17.52,-0.20,
V2,"Mother Lode",Vein,17.73,10.39,105.93,0.5182,0.0182,17.52,0.10,
V3,"Crystal Trade",Vein,19.89,7.24,107.07,0.5715,0.0715,17.52,1.10,
V4,"Prism",Vein,19.88,13.68,107.59,0.5491,0.0491,17.52,1.10,
V5,"Vein Rivalry",Vein,15.16,8.73,103.82,0.4747,-0.0253,17.52,-1.10,
V6,"Cut and Polish",Vein,15.55,3.03,104.69,0.4968,-0.0032,17.52,-0.92,
V7,"Crystal Cache",Vein,15.04,9.20,103.55,0.4638,-0.0362,17.52,-1.16,
V8,"Lode Miner",Vein,19.80,9.18,106.04,0.5520,0.0520,17.52,1.07,
O1,"Full Outfit",Outfit,17.70,3.70,106.49,0.5264,0.0264,17.17,0.26,
O2,"Mule Train",Outfit,16.95,4.65,105.36,0.4931,-0.0069,17.17,-0.11,
O3,"Well Equipped",Outfit,17.93,0.56,106.45,0.5237,0.0237,17.17,0.37,
O4,"Sharpened Steel",Outfit,19.26,5.53,107.61,0.5526,0.0526,17.17,1.04,
O5,"Supply Line",Outfit,14.27,7.53,103.45,0.4528,-0.0472,17.17,-1.45,
O6,"Camp Store",Outfit,14.50,2.29,103.56,0.4503,-0.0497,17.17,-1.33,
O7,"Traveling Crew",Outfit,16.91,1.94,105.85,0.5078,0.0078,17.17,-0.13,
O8,"Broken Handles",Outfit,19.89,2.56,108.00,0.5571,0.0571,17.17,1.35,
P1,"Pyrite Hoarder",Prospect,20.24,8.32,105.88,0.4740,-0.0260,17.36,1.49,
P2,"Clean Claim",Prospect,18.49,5.31,107.12,0.5411,0.0411,17.36,0.59,
P3,"Broad Claim",Prospect,14.93,3.37,103.79,0.4629,-0.0371,17.36,-1.25,
P4,"Two Trades",Prospect,14.94,3.08,103.83,0.4526,-0.0474,17.36,-1.24,
P5,"Highgrader",Prospect,16.90,9.60,105.63,0.4973,-0.0027,17.36,-0.24,
P6,"Volume Play",Prospect,16.52,5.54,106.24,0.5561,0.0561,17.36,-0.43,
P7,"Lucky Strike",Prospect,17.44,3.97,105.85,0.5037,0.0037,17.36,0.04,
P8,"Grubstake Partner",Prospect,19.39,7.80,108.22,0.5646,0.0646,17.36,1.05,
