# balance: games=100000 agent=inference deck=72
card,name,family,contribution_ev,contribution_sd,holder_score_ev,win_rate_held,win_rate_delta,family_mean,deviation_sd,flag
S1,"Rich Vein",Strike,20.01,6.13,106.92,0.5297,0.0297,18.08,0.86,
S2,"Sure Thing",Strike,16.64,7.22,104.61,0.4709,-0.0291,18.08,-0.64,
S3,"Careful Assay",Strike,20.47,8.74,107.36,0.5447,0.0447,18.08,1.07,
S4,"Bonanza",Strike,16.79,10.43,104.23,0.4622,-0.0378,18.08,-0.57,
S5,"Steady Take",Strike,16.07,4.27,104.26,0.4678,-0.0322,18.08,-0.89,
S6,"Grubstake",Strike,14.95,0.58,102.99,0.4372,-0.0628,18.08,-1.39,
S7,"Gold Fever",Strike,20.85,5.15,105.81,0.4810,-0.0190,18.08,1.24,
S8,"Assay Office",Strike,18.83,4.64,106.36,0.5279,0.0279,18.08,0.33,
D1,"Pay Streak",Dig,16.02,5.31,104.06,0.4610,-0.0390,17.54,-0.61,
D2,"Hard Rock",Dig,17.32,7.33,105.39,0.4937,-0.0063,17.54,-0.09,
D3,"Deep Shaft",Dig,19.92,6.73,106.80,0.5275,0.0275,17.54,0.94,
D4,"Ore Buyer",Dig,16.70,4.39,104.86,0.4893,-0.0107,17.54,-0.33,
D5,"Claim Rivalry",Dig,15.13,6.99,103.72,0.4560,-0.0440,17.54,-0.96,
D6,"Muck Out",Dig,21.39,8.03,108.44,0.5692,0.0692,17.54,1.53,OUTLIER
D7,"Prospector's Eye",Dig,14.26,4.60,102.56,0.4350,-0.0650,17.54,-1.31,
D8,"Union Crew",Dig,19.60,7.12,106.05,0.5131,0.0131,17.54,0.82,
L1,"Wash Plant",Sluice,15.55,5.55,102.94,0.4307,-0.0693,17.75,-1.10,
L2,"Long Tom",Sluice,17.08,7.47,104.87,0.4801,-0.0199,17.75,-0.34,
L3,"Tailings",Sluice,16.68,4.42,104.66,0.4801,-0.0199,17.75,-0.54,
L4,"Riffle Box",Sluice,19.82,6.79,106.02,0.5013,0.0013,17.75,1.04,
L5,"Downstream Claim",Sluice,15.04,7.06,103.45,0.4483,-0.0517,17.75,-1.36,
L6,"Sluice Rights",Sluice,17.99,5.64,105.40,0.4913,-0.0087,17.75,0.12,
L7,"River Rat",Sluice,19.55,5.96,106.03,0.5231,0.0231,17.75,0.90,
L8,"Fine Gold",Sluice,20.30,8.41,105.70,0.5018,0.0018,17.75,1.28,
V1,"Crystal Ladder",Vein,17.07,9.49,105.39,0.5141,0.0141,17.52,-0.21,
V2,"Mother Lode",Vein,17.78,10.44,106.03,0.5233,0.0233,17.52,0.12,
V3,"Crystal Trade",Vein,19.93,7.27,107.15,0.5712,0.0712,17.52,1.12,
V4,"Prism",Vein,19.97,13.83,107.77,0.5485,0.0485,17.52,1.14,
V5,"Vein Rivalry",Vein,15.18,8.70,103.84,0.4743,-0.0257,17.52,-1.08,
V6,"Cut and Polish",Vein,15.55,3.03,104.83,0.5019,0.0019,17.52,-0.91,
V7,"Crystal Cache",Vein,14.97,9.23,103.26,0.4567,-0.0433,17.52,-1.18,
V8,"Lode Miner",Vein,19.67,9.18,105.95,0.5554,0.0554,17.52,1.00,
O1,"Full Outfit",Outfit,17.66,3.69,106.36,0.5227,0.0227,17.19,0.24,
O2,"Mule Train",Outfit,17.01,4.65,105.28,0.4908,-0.0092,17.19,-0.09,
O3,"Well Equipped",Outfit,17.93,0.57,106.37,0.5251,0.0251,17.19,0.37,
O4,"Sharpened Steel",Outfit,19.26,5.53,107.58,0.5538,0.0538,17.19,1.04,
O5,"Supply Line",Outfit,14.37,7.51,103.46,0.4511,-0.0489,17.19,-1.42,
O6,"Camp Store",Outfit,14.51,2.27,103.87,0.4590,-0.0410,17.19,-1.35,
O7,"Traveling Crew",Outfit,16.90,1.95,105.83,0.5127,0.0127,17.19,-0.14,
O8,"Broken Handles",Outfit,19.88,2.56,108.08,0.5554,0.0554,17.19,1.36,
P1,"Pyrite Hoarder",Prospect,20.20,8.32,105.99,0.4781,-0.0219,17.37,1.46,
P2,"Clean Claim",Prospect,18.46,5.34,107.06,0.5443,0.0443,17.37,0.56,
P3,"Broad Claim",Prospect,14.90,3.38,103.76,0.4609,-0.0391,17.37,-1.28,
P4,"Two Trades",Prospect,14.94,3.12,103.85,0.4533,-0.0467,17.37,-1.26,
P5,"Highgrader",Prospect,17.02,9.64,105.86,0.5024,0.0024,17.37,-0.18,
P6,"Volume Play",Prospect,16.56,5.56,106.34,0.5497,0.0497,17.37,-0.42,
P7,"Lucky Strike",Prospect,17.46,3.95,105.72,0.5058,0.0058,17.37,0.05,
P8,"Grubstake Partner",Prospect,19.41,7.85,108.42,0.5667,0.0667,17.37,1.06,
