# balance: games=100000 agent=inference deck=72
card,name,family,contribution_ev,contribution_sd,holder_score_ev,win_rate_held,win_rate_delta,family_mean,deviation_sd,flag
S1,"Rich Vein",Strike,20.70,6.52,109.94,0.5480,0.0480,18.67,0.79,
S2,"Sure Thing",Strike,17.13,7.50,107.26,0.4820,-0.0180,18.67,-0.60,
S3,"Careful Assay",Strike,21.57,9.22,109.42,0.5285,0.0285,18.67,1.13,
S4,"Bonanza",Strike,17.52,11.37,106.81,0.4678,-0.0322,18.67,-0.45,
S5,"Steady Take",Strike,16.51,4.62,107.15,0.4998,-0.0002,18.67,-0.84,
S6,"Grubstake",Strike,14.95,0.56,104.70,0.4258,-0.0742,18.67,-1.44,
S7,"Gold Fever",Strike,22.09,5.81,109.96,0.5264,0.0264,18.67,1.33,
S8,"Assay Office",Strike,18.88,4.83,107.68,0.5055,0.0055,18.67,0.08,
D1,"Pay Streak",Dig,16.20,5.62,106.31,0.4633,-0.0367,17.88,-0.67,
D2,"Hard Rock",Dig,17.70,7.51,107.55,0.4930,-0.0070,17.88,-0.07,
D3,"Deep Shaft",Dig,20.31,7.08,108.88,0.5210,0.0210,17.88,0.97,
D4,"Ore Buyer",Dig,17.16,4.71,107.93,0.5121,0.0121,17.88,-0.29,
D5,"Claim Rivalry",Dig,15.41,7.25,105.91,0.4573,-0.0427,17.88,-0.98,
D6,"Muck Out",Dig,21.75,8.32,109.91,0.5329,0.0329,17.88,1.54,OUTLIER
D7,"Prospector's Eye",Dig,14.69,4.81,105.41,0.4583,-0.0417,17.88,-1.27,
D8,"Union Crew",Dig,19.83,7.42,107.83,0.4930,-0.0070,17.88,0.78,
L1,"Wash Plant",Sluice,15.80,5.87,104.96,0.4268,-0.0732,18.10,-1.13,
L2,"Long Tom",Sluice,17.51,7.65,107.11,0.4762,-0.0238,18.10,-0.29,
L3,"Tailings",Sluice,17.02,4.70,107.60,0.5035,0.0035,18.10,-0.53,
L4,"Riffle Box",Sluice,20.10,7.19,107.85,0.4878,-0.0122,18.10,0.99,
L5,"Downstream Claim",Sluice,15.35,7.32,105.58,0.4440,-0.0560,18.10,-1.35,
L6,"Sluice Rights",Sluice,18.24,5.99,107.77,0.5016,0.0016,18.10,0.07,
L7,"River Rat",Sluice,20.00,6.23,108.96,0.5347,0.0347,18.10,0.94,
L8,"Fine Gold",Sluice,20.74,8.82,107.47,0.4810,-0.0190,18.10,1.30,
V1,"Crystal Ladder",Vein,17.93,10.14,107.64,0.5104,0.0104,18.35,-0.17,
V2,"Mother Lode",Vein,18.96,10.96,108.42,0.5266,0.0266,18.35,0.25,
V3,"Crystal Trade",Vein,20.39,7.71,109.22,0.5623,0.0623,18.35,0.84,
V4,"Prism",Vein,21.70,15.12,110.57,0.5527,0.0527,18.35,1.38,
V5,"Vein Rivalry",Vein,15.68,8.99,106.07,0.4798,-0.0202,18.35,-1.10,
V6,"Cut and Polish",Vein,15.71,3.25,107.40,0.5151,0.0151,18.35,-1.09,
V7,"Crystal Cache",Vein,15.86,9.91,105.65,0.4679,-0.0321,18.35,-1.03,
V8,"Lode Miner",Vein,20.55,9.62,107.82,0.5352,0.0352,18.35,0.91,
O1,"Full Outfit",Outfit,17.88,3.94,109.22,0.5382,0.0382,17.36,0.26,
O2,"Mule Train",Outfit,17.24,4.77,107.79,0.4940,-0.0060,17.36,-0.07,
O3,"Well Equipped",Outfit,17.92,0.60,108.82,0.5280,0.0280,17.36,0.28,
O4,"Sharpened Steel",Outfit,19.61,5.66,110.27,0.5606,0.0606,17.36,1.14,
O5,"Supply Line",Outfit,14.73,7.65,105.95,0.4626,-0.0374,17.36,-1.34,
O6,"Camp Store",Outfit,14.70,2.61,106.68,0.4768,-0.0232,17.36,-1.36,
O7,"Traveling Crew",Outfit,16.83,2.24,108.66,0.5313,0.0313,17.36,-0.27,
O8,"Broken Handles",Outfit,20.01,2.68,110.34,0.5506,0.0506,17.36,1.35,
P1,"Pyrite Hoarder",Prospect,21.75,8.47,110.23,0.5097,0.0097,17.40,1.97,OUTLIER
P2,"Clean Claim",Prospect,19.09,5.11,107.85,0.4893,-0.0107,17.40,0.77,
P3,"Broad Claim",Prospect,14.92,3.61,106.37,0.4711,-0.0289,17.40,-1.12,
P4,"Two Trades",Prospect,15.05,3.50,106.34,0.4602,-0.0398,17.40,-1.06,
P5,"Highgrader",Prospect,16.93,9.68,107.41,0.4807,-0.0193,17.40,-0.21,
P6,"Volume Play",Prospect,16.79,5.85,107.91,0.5213,0.0213,17.40,-0.28,
P7,"Lucky Strike",Prospect,17.22,4.06,107.57,0.4962,-0.0038,17.40,-0.08,
P8,"Grubstake Partner",Prospect,17.45,7.81,108.57,0.5092,0.0092,17.40,0.02,
