# balance: games=100000 agent=inference deck=72
card,name,family,contribution_ev,contribution_sd,holder_score_ev,win_rate_held,win_rate_delta,family_mean,deviation_sd,flag
S1,"Rich Vein",Strike,20.25,6.09,107.53,0.5209,0.0209,18.26,0.91,
S2,"Sure Thing",Strike,17.00,7.21,105.38,0.4758,-0.0242,18.26,-0.57,
S3,"Careful Assay",Strike,20.62,8.71,107.90,0.5461,0.0461,18.26,1.07,
S4,"Bonanza",Strike,17.39,10.47,105.07,0.4703,-0.0297,18.26,-0.40,
S5,"Steady Take",Strike,16.30,4.24,104.96,0.4756,-0.0244,18.26,-0.89,
S6,"Grubstake",Strike,14.95,0.60,103.57,0.4420,-0.0580,18.26,-1.51,OUTLIER
S7,"Gold Fever",Strike,20.90,5.15,106.19,0.4827,-0.0173,18.26,1.20,
S8,"Assay Office",Strike,18.68,4.79,106.66,0.5227,0.0227,18.26,0.19,
D1,"Pay Streak",Dig,16.24,5.31,104.90,0.4688,-0.0312,17.20,-0.49,
D2,"Hard Rock",Dig,17.56,7.34,106.15,0.4995,-0.0005,17.20,0.18,
D3,"Deep Shaft",Dig,20.10,6.72,107.42,0.5278,0.0278,17.20,1.47,
D4,"Ore Buyer",Dig,16.83,4.39,105.47,0.4891,-0.0109,17.20,-0.19,
D5,"Claim Rivalry",Dig,15.58,7.02,104.57,0.4647,-0.0353,17.20,-0.83,
D6,"Muck Out",Dig,17.02,6.89,105.48,0.4943,-0.0057,17.20,-0.09,
D7,"Prospector's Eye",Dig,14.44,4.62,103.28,0.4416,-0.0584,17.20,-1.41,
D8,"Union Crew",Dig,19.87,7.16,106.78,0.5095,0.0095,17.20,1.36,
L1,"Wash Plant",Sluice,15.86,5.52,103.87,0.4421,-0.0579,17.99,-1.13,
L2,"Long Tom",Sluice,17.47,7.39,105.85,0.4908,-0.0092,17.99,-0.27,
L3,"Tailings",Sluice,16.85,4.43,105.22,0.4776,-0.0224,17.99,-0.60,
L4,"Riffle Box",Sluice,20.00,6.85,106.70,0.5025,0.0025,17.99,1.06,
L5,"Downstream Claim",Sluice,15.50,7.06,104.44,0.4547,-0.0453,17.99,-1.32,
L6,"Sluice Rights",Sluice,18.16,5.63,106.26,0.4998,-0.0002,17.99,0.09,
L7,"River Rat",Sluice,19.68,5.91,106.95,0.5240,0.0240,17.99,0.90,
L8,"Fine Gold",Sluice,20.38,8.42,106.42,0.5039,0.0039,17.99,1.27,
V1,"Crystal Ladder",Vein,17.68,9.52,106.50,0.5215,0.0215,17.94,-0.12,
V2,"Mother Lode",Vein,18.31,10.45,107.05,0.5237,0.0237,17.94,0.17,
V3,"Crystal Trade",Vein,20.04,7.18,107.93,0.5687,0.0687,17.94,0.96,
V4,"Prism",Vein,20.81,14.02,109.22,0.5659,0.0659,17.94,1.32,
V5,"Vein Rivalry",Vein,15.64,8.70,105.05,0.4832,-0.0168,17.94,-1.06,
V6,"Cut and Polish",Vein,15.68,3.04,105.36,0.5029,0.0029,17.94,-1.04,
V7,"Crystal Cache",Vein,15.47,9.28,104.56,0.4713,-0.0287,17.94,-1.14,
V8,"Lode Miner",Vein,19.90,9.20,107.08,0.5548,0.0548,17.94,0.90,
O1,"Full Outfit",Outfit,17.82,3.76,106.80,0.5212,0.0212,17.30,0.27,
O2,"Mule Train",Outfit,17.02,4.65,105.81,0.4991,-0.0009,17.30,-0.14,
O3,"Well Equipped",Outfit,17.93,0.59,106.98,0.5252,0.0252,17.30,0.32,
O4,"Sharpened Steel",Outfit,19.44,5.52,108.05,0.5532,0.0532,17.30,1.09,
O5,"Supply Line",Outfit,14.67,7.56,104.29,0.4641,-0.0359,17.30,-1.34,
O6,"Camp Store",Outfit,14.57,2.30,104.08,0.4533,-0.0467,17.30,-1.39,
O7,"Traveling Crew",Outfit,16.96,1.98,106.07,0.5078,0.0078,17.30,-0.17,
O8,"Broken Handles",Outfit,19.95,2.60,108.40,0.5581,0.0581,17.30,1.36,
P1,"Pyrite Hoarder",Prospect,20.10,8.37,105.84,0.4731,-0.0269,17.32,1.46,
P2,"Clean Claim",Prospect,18.42,5.37,107.21,0.5300,0.0300,17.32,0.58,
P3,"Broad Claim",Prospect,14.92,3.37,104.05,0.4573,-0.0427,17.32,-1.25,
P4,"Two Trades",Prospect,14.88,3.11,104.08,0.4492,-0.0508,17.32,-1.28,
P5,"Highgrader",Prospect,16.93,9.69,106.09,0.4983,-0.0017,17.32,-0.20,
P6,"Volume Play",Prospect,16.54,5.62,106.37,0.5395,0.0395,17.32,-0.41,
P7,"Lucky Strike",Prospect,17.38,4.01,106.03,0.5002,0.0002,17.32,0.04,
P8,"Grubstake Partner",Prospect,19.34,7.81,108.31,0.5518,0.0518,17.32,1.06,

