# balance: games=100000 agent=inference deck=72
card,name,family,contribution_ev,contribution_sd,holder_score_ev,win_rate_held,win_rate_delta,family_mean,deviation_sd,flag
S1,"Rich Vein",Strike,20.58,6.02,111.21,0.5106,0.0106,18.52,0.87,
S2,"Sure Thing",Strike,17.29,7.09,108.76,0.4578,-0.0422,18.52,-0.52,
S3,"Careful Assay",Strike,21.23,8.68,111.25,0.5440,0.0440,18.52,1.14,
S4,"Bonanza",Strike,17.21,10.70,108.13,0.4802,-0.0198,18.52,-0.56,
S5,"Steady Take",Strike,16.58,4.22,108.31,0.4664,-0.0336,18.52,-0.82,
S6,"Grubstake",Strike,14.97,0.46,106.73,0.4100,-0.0900,18.52,-1.50,OUTLIER
S7,"Gold Fever",Strike,21.29,5.16,109.61,0.4629,-0.0371,18.52,1.17,
S8,"Assay Office",Strike,19.04,4.54,108.87,0.4655,-0.0345,18.52,0.22,
D1,"Pay Streak",Dig,17.65,5.23,110.35,0.5034,0.0034,18.43,-0.36,
D2,"Hard Rock",Dig,19.38,6.79,110.97,0.5095,0.0095,18.43,0.43,
D3,"Deep Shaft",Dig,21.42,6.66,112.02,0.5346,0.0346,18.43,1.37,
D4,"Ore Buyer",Dig,17.09,4.56,109.64,0.5031,0.0031,18.43,-0.62,
D5,"Claim Rivalry",Dig,17.71,6.72,110.06,0.4995,-0.0005,18.43,-0.33,
D6,"Muck Out",Dig,18.64,6.78,111.37,0.5357,0.0357,18.43,0.09,
D7,"Prospector's Eye",Dig,14.65,4.79,106.97,0.4515,-0.0485,18.43,-1.73,OUTLIER
D8,"Union Crew",Dig,20.94,7.25,111.17,0.5157,0.0157,18.43,1.15,
L1,"Wash Plant",Sluice,17.18,5.33,109.07,0.4675,-0.0325,18.90,-1.06,
L2,"Long Tom",Sluice,19.24,6.82,110.22,0.4811,-0.0189,18.90,0.21,
L3,"Tailings",Sluice,16.62,4.55,108.91,0.4856,-0.0144,18.90,-1.41,
L4,"Riffle Box",Sluice,20.93,6.73,111.12,0.5054,0.0054,18.90,1.25,
L5,"Downstream Claim",Sluice,17.77,6.64,109.73,0.4742,-0.0258,18.90,-0.70,
L6,"Sluice Rights",Sluice,19.04,5.57,110.66,0.5055,0.0055,18.90,0.08,
L7,"River Rat",Sluice,19.45,6.01,111.01,0.5403,0.0403,18.90,0.34,
L8,"Fine Gold",Sluice,21.01,8.27,110.97,0.5108,0.0108,18.90,1.30,
V1,"Crystal Ladder",Vein,18.66,9.60,110.38,0.5335,0.0335,18.68,-0.01,
V2,"Mother Lode",Vein,19.81,10.50,111.22,0.5503,0.0503,18.68,0.56,
V3,"Crystal Trade",Vein,20.01,7.50,111.24,0.5435,0.0435,18.68,0.65,
V4,"Prism",Vein,22.01,14.06,113.34,0.5769,0.0769,18.68,1.65,OUTLIER
V5,"Vein Rivalry",Vein,16.78,8.57,109.11,0.4957,-0.0043,18.68,-0.94,
V6,"Cut and Polish",Vein,15.78,3.13,108.80,0.4970,-0.0030,18.68,-1.43,
V7,"Crystal Cache",Vein,17.20,10.29,111.67,0.5000,0.0000,18.68,-0.74,
V8,"Lode Miner",Vein,19.22,9.51,110.59,0.5573,0.0573,18.68,0.26,
O1,"Full Outfit",Outfit,17.85,3.66,110.41,0.5261,0.0261,17.30,0.28,
O2,"Mule Train",Outfit,16.22,4.70,108.82,0.4900,-0.0100,17.30,-0.55,
O3,"Well Equipped",Outfit,17.94,0.50,110.43,0.5181,0.0181,17.30,0.33,
O4,"Sharpened Steel",Outfit,19.75,5.31,111.32,0.5492,0.0492,17.30,1.25,
O5,"Supply Line",Outfit,15.03,7.48,108.07,0.4607,-0.0393,17.30,-1.16,
O6,"Camp Store",Outfit,14.67,2.25,107.29,0.4583,-0.0417,17.30,-1.34,
O7,"Traveling Crew",Outfit,17.00,1.95,109.79,0.5036,0.0036,17.30,-0.15,
O8,"Broken Handles",Outfit,19.92,2.58,111.58,0.5356,0.0356,17.30,1.34,
P1,"Pyrite Hoarder",Prospect,21.10,8.12,109.60,0.4601,-0.0399,17.46,1.71,OUTLIER
P2,"Clean Claim",Prospect,18.92,5.12,110.82,0.5077,0.0077,17.46,0.69,
P3,"Broad Claim",Prospect,14.96,3.39,107.42,0.4570,-0.0430,17.46,-1.18,
P4,"Two Trades",Prospect,14.88,3.04,107.58,0.4520,-0.0480,17.46,-1.22,
P5,"Highgrader",Prospect,16.79,9.73,109.69,0.4905,-0.0095,17.46,-0.31,
P6,"Volume Play",Prospect,16.71,5.91,110.40,0.5702,0.0702,17.46,-0.35,
P7,"Lucky Strike",Prospect,17.38,4.10,109.24,0.4769,-0.0231,17.46,-0.04,
P8,"Grubstake Partner",Prospect,18.94,7.87,111.77,0.5514,0.0514,17.46,0.70,

