# toggles: games=20000 per variant
draft,progressive_reveal,persistent_hidden,motherlode,inference_win_rate,ci95,mean_score,score_sd,score_min,score_max,mean_margin
false,false,true,true,0.5074,0.0069,105.81,15.36,35,192,0.463
false,false,true,false,0.5189,0.0069,99.11,14.91,42,190,0.985
false,false,false,true,0.5085,0.0069,105.80,15.38,35,182,0.533
false,false,false,false,0.5194,0.0069,99.12,14.91,42,180,1.008
false,true,true,true,0.5133,0.0069,105.67,15.28,35,192,0.724
false,true,true,false,0.5213,0.0069,98.97,14.82,40,190,1.152
false,true,false,true,0.5138,0.0069,105.68,15.30,35,192,0.761
false,true,false,false,0.5224,0.0069,98.97,14.82,40,190,1.191
true,false,true,true,0.5002,0.0069,110.67,16.31,48,204,0.230
true,false,true,false,0.5136,0.0069,103.75,15.78,48,201,0.816
true,false,false,true,0.4989,0.0069,110.68,16.31,46,204,0.177
true,false,false,false,0.5144,0.0069,103.75,15.78,48,201,0.848
true,true,true,true,0.5074,0.0069,110.40,16.13,48,204,0.784
true,true,true,false,0.5233,0.0069,103.46,15.58,47,201,1.359
true,true,false,true,0.5063,0.0069,110.40,16.12,48,204,0.716
true,true,false,false,0.5233,0.0069,103.46,15.58,49,201,1.373
